date,code,market,close,volume,name
2026-01-06,020030,TWSE,9.01,2000.0,統一智慧電動車N
2026-01-06,020031,TWSE,6.07,103000.0,統一IC設計臺灣N
2026-01-06,020032,TWSE,7.91,4000.0,元大綠能N
2026-01-06,020034,TWSE,7.45,132000.0,元大IC設計N
2026-01-06,020037,TWSE,8.46,14000.0,元大金融高股息N
2026-01-06,020038,TWSE,7.58,48000.0,元大ESG配息N
2026-01-06,020039,TWSE,9.53,123000.0,元大加權N
2026-01-06,1101,TWSE,23.1,30457336.0,台泥
2026-01-06,1101B,TWSE,45.3,4377.0,台泥乙特
2026-01-06,1102,TWSE,37.8,21026142.0,亞泥
2026-01-06,1103,TWSE,13.75,437756.0,嘉泥
2026-01-06,1104,TWSE,29.75,442632.0,環泥
2026-01-06,1108,TWSE,14.9,220210.0,幸福
2026-01-06,1109,TWSE,15.5,109041.0,信大
2026-01-06,1110,TWSE,16.15,88294.0,東泥
2026-01-06,1201,TWSE,14.4,791960.0,味全
2026-01-06,1203,TWSE,39.65,27332.0,味王
2026-01-06,1210,TWSE,51.4,1271575.0,大成
2026-01-06,1213,TWSE,10.55,5001.0,大飲
2026-01-06,1215,TWSE,133.0,858185.0,卜蜂
2026-01-06,1216,TWSE,77.0,10628462.0,統一
2026-01-06,1217,TWSE,10.45,286800.0,愛之味
2026-01-06,1218,TWSE,18.1,615424.0,泰山
2026-01-06,1219,TWSE,13.35,567274.0,福壽
2026-01-06,1220,TWSE,12.5,57607.0,台榮
2026-01-06,1225,TWSE,28.4,186102.0,福懋油
2026-01-06,1227,TWSE,30.0,1327773.0,佳格
2026-01-06,1229,TWSE,46.25,4206255.0,聯華
2026-01-06,1231,TWSE,94.0,1063732.0,聯華食
2026-01-06,1232,TWSE,144.0,56929.0,大統益
2026-01-06,1233,TWSE,32.1,36467.0,天仁
2026-01-06,1234,TWSE,37.55,174879.0,黑松
2026-01-06,1235,TWSE,45.65,2195.0,興泰
2026-01-06,1236,TWSE,25.45,69071.0,宏亞
2026-01-06,1256,TWSE,143.0,40324.0,鮮活果汁-KY
2026-01-06,1301,TWSE,38.0,16752075.0,台塑
2026-01-06,1303,TWSE,55.6,82573213.0,南亞
2026-01-06,1304,TWSE,10.45,4522022.0,台聚
2026-01-06,1305,TWSE,10.6,1131496.0,華夏
2026-01-06,1307,TWSE,30.8,734269.0,三芳
2026-01-06,1308,TWSE,12.7,995890.0,亞聚
2026-01-06,1309,TWSE,10.95,1132732.0,台達化
2026-01-06,1310,TWSE,8.58,1096662.0,台苯
2026-01-06,1312,TWSE,11.15,3759958.0,國喬
2026-01-06,1313,TWSE,9.73,2537215.0,聯成
2026-01-06,1314,TWSE,7.68,19728863.0,中石化
2026-01-06,1315,TWSE,64.2,15496.0,達新
2026-01-06,1316,TWSE,14.55,3521276.0,上曜
2026-01-06,1319,TWSE,97.1,1651349.0,東陽
2026-01-06,1321,TWSE,34.75,136101.0,大洋
2026-01-06,1323,TWSE,19.5,23000.0,永裕
2026-01-06,1324,TWSE,11.55,510751.0,地球
2026-01-06,1325,TWSE,29.95,416264.0,恆大
2026-01-06,1326,TWSE,30.45,12291876.0,台化
2026-01-06,1337,TWSE,4.76,271902.0,再生-KY
2026-01-06,1338,TWSE,20.1,50121.0,廣華-KY
2026-01-06,1339,TWSE,42.85,67581.0,昭輝
2026-01-06,1340,TWSE,6.7,1148061.0,勝悅-KY
2026-01-06,1341,TWSE,57.7,13000.0,富林-KY
2026-01-06,1342,TWSE,88.5,108899.0,八貫
2026-01-06,1402,TWSE,27.7,5155315.0,遠東新
2026-01-06,1409,TWSE,14.45,6857128.0,新纖
2026-01-06,1410,TWSE,34.4,41028.0,南染
2026-01-06,1413,TWSE,10.0,35131.0,宏洲
2026-01-06,1416,TWSE,11.9,227467.0,廣豐
2026-01-06,1417,TWSE,8.77,187633.0,嘉裕
2026-01-06,1418,TWSE,20.15,37692.0,東華
2026-01-06,1419,TWSE,66.6,184560.0,新紡
